"last_name, first_name",player_id,year,pa,b_out_fly,b_out_ground,b_out_line_drive
"Tucker, Cole",657061,2024,57,6,15,3
"Wood, James",695578,2024,336,23,77,18
"Gonzalez, Romy",663853,2024,216,19,55,12
"Greene, Riley",682985,2024,584,64,118,28
"Walton, Donovan",622268,2024,25,2,5,2
"Vargas, Ildemaro",545121,2024,303,39,108,26
"Wynns, Austin",642851,2024,20,3,2,1
"Ward, Taylor",621493,2024,663,118,100,50
"Vogelbach, Daniel",596129,2024,79,8,25,6
"Gordon, Nick",624503,2024,275,32,79,20
"Hedges, Austin",595978,2024,146,28,24,4
"Wagaman, Eric",676572,2024,74,12,17,5
"France, Ty",664034,2024,535,80,129,25
"Dezenzo, Zach",701305,2024,65,7,13,3
"Peguero, Liover",678894,2024,10,1,2,2
"Turang, Brice",668930,2024,619,71,184,44
"Rosario, Amed",642708,2024,346,40,90,25
"Call, Alex",669743,2024,113,13,23,4
"Pérez, Wenceel",672761,2024,425,60,81,34
"Colás, Oscar",693049,2024,38,2,9,1
"Caballero, José",676609,2024,483,52,96,33
"Heyward, Jason",518792,2024,258,27,75,13
"Gurriel Jr., Yuli",493329,2024,65,8,12,5
"Miranda, Jose",669304,2024,429,70,98,26
"Kelenic, Jarred",672284,2024,449,64,78,29
"Cruz, Oneil",665833,2024,599,48,125,28
"Peralta, David",444482,2024,260,25,62,22
"Espinal, Santiago",669289,2024,391,63,94,42
"Albies, Ozzie",645277,2024,435,78,94,32
"Bryant, Kris",592178,2024,155,17,26,6
"Bae, Ji Hwan",678225,2024,81,8,23,4
"Sogard, Nick",686765,2024,86,11,15,3
"Kennedy, Buddy",671083,2024,26,2,5,4
"Loperfido, Joey",694388,2024,262,29,54,6
"Rizzo, Anthony",519203,2024,375,43,99,21
"García, Adolis",666969,2024,637,93,119,34
"McCormick, Chas",676801,2024,267,43,58,11
"Mountcastle, Ryan",663624,2024,507,63,120,36
"Devers, Rafael",646240,2024,601,60,125,28
"Romo, Drew",691011,2024,53,7,14,1
"De La Cruz, Elly",682829,2024,696,69,133,28
"Chapman, Matt",656305,2024,647,91,118,25
"Duffy, Matt",622110,2024,10,0,2,1
"Hayes, Ke'Bryan",663647,2024,396,46,113,33
"Berti, Jon",542932,2024,74,9,17,7
"Ramos, Heliot",671218,2024,518,60,105,31
"Scott II, Victor",687363,2024,155,20,41,9
"Newman, Kevin",621028,2024,311,37,95,19
"Toglia, Michael",669911,2024,458,58,79,19
"Suárez, Eugenio",553993,2024,640,89,101,37
"Benintendi, Andrew",643217,2024,522,93,122,35
"Ibáñez, Andy",628451,2024,244,34,36,14
"O'Hearn, Ryan",656811,2024,494,78,116,41
"Rooker Jr., Brent",667670,2024,614,78,82,23
"Reynolds, Bryan",668804,2024,692,84,158,42
"Sheets, Gavin",657757,2024,501,67,98,47
"Noda, Ryan",676116,2024,111,14,21,3
"Moniak, Mickey",666160,2024,418,60,77,19
"Torrens, Luis",620443,2024,130,17,32,9
"Langford, Wyatt",694671,2024,557,86,110,30
"Miller, Owen",680911,2024,27,5,8,1
"Fitzgerald, Tyler",666149,2024,341,44,45,17
"Maile, Luke",571912,2024,154,17,31,10
"Dubón, Mauricio",643289,2024,428,72,111,33
"Aranda, Jonathan",666018,2024,143,17,40,6
"Baker, Luken",663609,2024,49,6,10,3
"McCutchen, Andrew",457705,2024,515,66,97,24
"Rivas, Leo",660844,2024,86,5,17,9
"Báez, Javier",595879,2024,289,44,84,14
"Correa, Carlos",621043,2024,367,41,83,24
"Yepez, Juan",660766,2024,249,29,75,7
"Sánchez, Ali",645305,2024,96,12,31,7
"Sosa, Edmundo",624641,2024,274,34,62,11
"Murphy, Tom",608596,2024,38,2,10,3
"Rivera, Emmanuel",656896,2024,302,35,77,15
"Ford, Mike",645801,2024,62,11,15,4
"Casas, Triston",671213,2024,243,24,46,9
"Altuve, Jose",514888,2024,682,89,153,56
"Siri, Jose",642350,2024,448,48,75,21
"Azocar, José",640492,2024,79,12,22,2
"Trevino, Jose",624431,2024,234,36,65,14
"Myers, Dane",667472,2024,108,10,18,4
"Ornelas, Jonathan",680716,2024,40,1,13,3
"Goldschmidt, Paul",502671,2024,654,74,140,42
"Arias, Gabriel",672356,2024,161,12,41,7
"McKenna, Ryan",663630,2024,15,2,1,1
"Senzel, Nick",669222,2024,267,32,60,21
"Farmer, Kyle",571657,2024,242,51,51,10
"Peña, Jeremy",665161,2024,650,92,182,39
"Drury, Brandon",592273,2024,360,37,116,24
"Fraley, Jake",641584,2024,382,47,93,25
"Chisholm Jr., Jazz",665862,2024,621,65,143,35
"Monasterio, Andruw",655316,2024,142,21,25,9
"Clement, Ernie",676391,2024,452,88,118,38
"Kirilloff, Alex",666135,2024,178,25,45,6
"Reyes, Pablo",622569,2024,64,11,14,3
"Florial, Estevan",664314,2024,111,10,20,7
"Mead, Curtis",678554,2024,132,14,26,14
"Villar, David",681584,2024,37,5,7,1
"Joe, Connor",656582,2024,416,52,87,17
"Cabbage, Trey",663550,2024,91,7,19,6
"Rosario, Eguy",666703,2024,57,4,11,3
"Helman, Michael",680737,2024,10,1,1,1
"Contreras, William",661388,2024,679,59,175,33
"Stallings, Jacob",607732,2024,281,32,66,11
"Stephenson, Tyler",663886,2024,515,64,124,23
"Lowe, Nathaniel",663993,2024,565,61,128,33
"Fairchild, Stuart",656413,2024,233,31,46,8
"Varsho, Daulton",662139,2024,513,73,74,20
"Pages, Andy",681624,2024,443,69,65,35
"Clemens, Kody",665019,2024,120,23,24,5
"Baker, Darren",671117,2024,14,1,3,0
"Lockridge, Brandon",663604,2024,12,2,3,0
"Jung, Jace",690291,2024,94,7,16,4
"Ramos, Bryan",682868,2024,108,15,28,11
"McCoy, Mason",669200,2024,57,4,14,5
"Volpe, Anthony",683011,2024,689,86,179,42
"Trout, Mike",545361,2024,126,20,16,11
"Verdugo, Alex",657077,2024,621,88,190,42
"Rice, Ben",700250,2024,178,27,36,11
"Yoshida, Masataka",807799,2024,421,61,108,33
"d'Arnaud, Travis",518595,2024,341,40,83,13
"Palacios, Richie",680700,2024,316,31,63,21
"López, Jack",605346,2024,71,5,14,4
"Hensley, David",682073,2024,58,5,16,3
"Melendez Jr., MJ",669004,2024,451,65,98,24
"Realmuto, J.T.",592663,2024,413,43,92,26
"Hinds, Rece",677956,2024,51,6,8,2
"Keirsey Jr., DaShawn",680577,2024,14,3,4,3
"Crews, Dylan",686611,2024,132,14,42,4
"Wade Jr., LaMonte",664774,2024,401,48,79,24
"Moreno, Gabriel",672515,2024,351,46,90,24
"Naylor, Josh",647304,2024,633,81,172,38
"Grossman, Robbie",543257,2024,245,30,52,14
"Rios, Edwin",621458,2024,10,1,3,0
"Olivares, Edward",658668,2024,196,19,58,10
"Alonso, Pete",624413,2024,695,86,140,30
"De Los Santos, Luis",665782,2024,31,3,9,2
"Butler, Lawrence",671732,2024,451,62,103,20
"Refsnyder, Rob",608701,2024,307,28,63,14
"Meneses, Joey",608841,2024,313,46,81,20
"Tovar, Ezequiel",678662,2024,695,121,105,32
